epoch,accuracy,loss,val_accuracy,val_loss
0,0.7120000123977661,0.9765798449516296,0.6162499785423279,0.7858763337135315
1,0.8180000185966492,0.47698909044265747,0.8949999809265137,0.2659734785556793
2,0.8600000143051147,0.35282444953918457,0.8525000214576721,0.3616020679473877
3,0.8970000147819519,0.28711721301078796,0.800000011920929,0.7707579135894775
4,0.9010000228881836,0.2920946478843689,0.887499988079071,0.33227360248565674
5,0.9100000262260437,0.24667420983314514,0.8849999904632568,0.39177581667900085
6,0.9340000152587891,0.18337564170360565,0.9037500023841858,0.35999321937561035
7,0.9340000152587891,0.17933298647403717,0.8762500286102295,0.5065922737121582
8,0.9539999961853027,0.15320155024528503,0.8550000190734863,0.6512200832366943
9,0.9620000123977661,0.10597532242536545,0.8362500071525574,0.8047921061515808
